axis,value,scene,layer,readout,result
A_Care_Compassion,0,S_vulnerable,S8,prior:B:threaten,0.31234937500000004
A_Care_Compassion,0,S_vulnerable,S8,prior:B:accuse,0.28832250000000004
A_Care_Compassion,0,S_vulnerable,S8,prior:B:investigate,0.205
A_Care_Compassion,0,S_vulnerable,S8,prior:B:observe_target,0.35000000000000003
A_Care_Compassion,0,S_vulnerable,S8,prior:B:verify,0.17500000000000002
A_Care_Compassion,0,S_vulnerable,S8,prior:B:talk,0.425
A_Care_Compassion,0,S_vulnerable,S8,prior:B:negotiate,0.395
A_Care_Compassion,0,S_vulnerable,S8,prior:B:signal,0.28
A_Care_Compassion,0,S_vulnerable,S8,prior:B:call_backup,0.35000000000000003
A_Care_Compassion,0,S_vulnerable,S8,prior:B:propose_trade,0.28
A_Care_Compassion,0,S_vulnerable,S6,drv:safetyNeed,0.07267500000000002
A_Care_Compassion,0,S_vulnerable,S6,drv:controlNeed,0.62488305
A_Care_Compassion,0,S_vulnerable,S6,drv:statusNeed,0.06655842912004047
A_Care_Compassion,0,S_vulnerable,S6,drv:affiliationNeed,0.6061219698668867
A_Care_Compassion,0,S_vulnerable,S6,drv:resolveNeed,0.05553195668415409
A_Care_Compassion,0,S_vulnerable,S6,drv:restNeed,0
A_Care_Compassion,0,S_vulnerable,S6,drv:curiosityNeed,0.4978814141705625
A_Care_Compassion,0,S_vulnerable,S8,act:aff:submit:A:B,0.375
A_Care_Compassion,0,S_vulnerable,S8,act:aff:escort:A:B,0.125
A_Care_Compassion,0,S_vulnerable,S8,act:aff:negotiate:A:B,0.25
A_Care_Compassion,0,S_vulnerable,S8,act:aff:avoid:A:B,0.25
A_Care_Compassion,0,S_vulnerable,S8,q:aff:negotiate:A:B,0.6024915775539609
A_Care_Compassion,0,S_vulnerable,S8,q:aff:escort:A:B,0.3200951171056123
A_Care_Compassion,0,S_vulnerable,S8,q:cog:monologue:A,0.11406808523623083
A_Care_Compassion,0,S_vulnerable,S8,q:aff:guard:A:B,0.0525979245876253
A_Care_Compassion,0,S_vulnerable,S8,q:aff:avoid:A:B,-0.0569393804940721
A_Care_Compassion,0,S_vulnerable,S8,q:aff:submit:A:B,-0.06561720877631048
A_Care_Compassion,0,S_vulnerable,S8,q:con:challenge:A:B,-0.10514045308415443
A_Care_Compassion,0,S_vulnerable,S8,q:aff:loot:A,-0.13141124812146018
A_Care_Compassion,0,S_vulnerable,S8,q:cog:wait:A,-0.19999999999999998
A_Care_Compassion,0,S_vulnerable,S8,q:aff:rest:A,-0.19999999999999998
A_Care_Compassion,0,S_vulnerable,S8,action_entropy,1.9056390622295665
A_Care_Compassion,0,S_vulnerable,STATE,stress,0
A_Care_Compassion,0,S_vulnerable,STATE,ctxDanger,0.15000000000000002
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,goal:affiliation,0.40234374510838483
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,goal:control,0.3545765258242708
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,goal:exploration,0.32621909584757747
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,goal:wealth,0.13949864590235483
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,goal:status,0.05256351906665711
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,goal:safety,0
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,goal:order,0
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,goal:rest,0.03482022857641061
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:reduce_self_threat,0.078505007665668
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:stabilize_other,0.40234374510838483
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:verify_claim,0.15
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:preserve_cooperation,0.40234374510838483
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:confront_threat_source,0.15
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:restore_self_control,0.15
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:maintain_trust_signal,0.40234374510838483
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:deescalate_interaction,0.15
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:protect_status_position,0.08866816462599822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:recover_resources,0.15
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:maintain_contact_channel,0.15
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:follow_order,0.06366816462599822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:maintain_cohesion,0.47734374510838484
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:maintain_legitimacy,0.15116816462599822
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:assert_autonomy,0
A_Care_Compassion,0.16666666666666666,S_vulnerable,S7,util:protect_self,0.046086586145833115
