characterId,axis,base,scene,readout,slope,sign
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,util:serve_authority,-0.0374,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,util:self_transcendence,-0.0678,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,prior:B:comfort,0.0216,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,prior:B:praise,0.0432,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,prior:B:apologize,0.0648,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,prior:B:share_resource,0.0216,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,prior:B:command,-0.0375,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,prior:B:accuse,0.0594,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,prior:B:negotiate,0.045,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,prior:B:propose_trade,0.03,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_hierarchy,drv:statusNeed,-0.0403,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,goal:status,-0.0387,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:protect_status_position,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:follow_order,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:maintain_legitimacy,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:assert_autonomy,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:avoid_blame,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:follow_leader,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:challenge_leader,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:uphold_values,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:redeem_self,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:fulfill_role,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:avenge,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:seek_status,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,util:serve_authority,-0.0386,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,prior:B:comfort,0.0216,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,prior:B:praise,0.0432,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,prior:B:apologize,0.0648,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,prior:B:share_resource,0.0216,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,prior:B:command,-0.0375,-1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,prior:B:accuse,0.0594,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,prior:B:negotiate,0.045,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,prior:B:propose_trade,0.03,1
assi-the-runner,A_Legitimacy_Procedure,0.2,S_threat,drv:statusNeed,-0.0459,-1
